Bivariate analysis PAD possibly useful input

Predictor 1      Univariate performance    Predictor 2      Univariate performance    Bivariate performance
ps_ind_01        52.83                     ps_reg_03        55.87                     56.42                
ps_ind_06_bin    54.5                      ps_ind_16_bin    53.57                     56.41                
ps_reg_02        55.67                     ps_car_05_cat    53.07                     56.4                 
ps_reg_02        55.67                     ps_reg_03        55.87                     56.39                
ps_car_14        54.95                     ps_car_15        54.4                      56.39                
ps_reg_01        53.7                      ps_car_14        54.95                     56.36                
ps_ind_06_bin    54.5                      ps_reg_01        53.7                      56.36                
ps_car_01_cat    55.09                     ps_car_02_cat    53.19                     56.35                
ps_reg_02        55.67                     ps_car_08_cat    51.82                     56.34                
ps_car_04_cat    53.58                     ps_car_15        54.4                      56.34                
ps_car_01_cat    55.09                     ps_car_11_cat    53.68                     56.31                
ps_ind_06_bin    54.5                      ps_ind_15        53.48                     56.31                
ps_car_03_cat    53.95                     ps_car_14        54.95                     56.31                
ps_ind_16_bin    53.57                     ps_car_14        54.95                     56.31                
ps_reg_01        53.7                      ps_car_01_cat    55.09                     56.29                
ps_reg_01        53.7                      ps_car_04_cat    53.58                     56.29                
ps_car_01_cat    55.09                     ps_car_05_cat    53.07                     56.28                
ps_car_02_cat    53.19                     ps_car_14        54.95                     56.27                
ps_ind_07_bin    54.02                     ps_reg_01        53.7                      56.26                
ps_ind_08_bin    51.28                     ps_reg_03        55.87                     56.25                
ps_car_01_cat    55.09                     ps_car_07_cat    52.26                     56.25                
ps_reg_01        53.7                      ps_reg_03        55.87                     56.24                
ps_ind_01        52.83                     ps_reg_02        55.67                     56.23                
ps_car_06_cat    54.08                     ps_car_12        55.44                     56.23                
ps_ind_06_bin    54.5                      ps_car_11_cat    53.68                     56.23                
ps_ind_03        53.93                     ps_car_15        54.4                      56.22                
ps_ind_03        53.93                     ps_car_04_cat    53.58                     56.22                
ps_car_05_cat    53.07                     ps_car_12        55.44                     56.22                
ps_car_06_cat    54.08                     ps_car_15        54.4                      56.19                
ps_car_02_cat    53.19                     ps_car_15        54.4                      56.18                
ps_ind_17_bin    53.25                     ps_car_06_cat    54.08                     56.18                
